station_id,indexName,quantity_per_1000m3
8,จำนวนกลุ่มของสัตว์น้ำวัยอ่อนทั้งหมด,4
8,ปริมาณของสัตว์น้ำวัยอ่อนทั้งหมด,2491
8,ค่าดัชนีความหลากหลายของสัตว์น้ำวัยอ่อนทั้งหมด,0.9437
9,จำนวนกลุ่มของสัตว์น้ำวัยอ่อนทั้งหมด,4
9,ปริมาณของสัตว์น้ำวัยอ่อนทั้งหมด,4224
9,ค่าดัชนีความหลากหลายของสัตว์น้ำวัยอ่อนทั้งหมด,1.2678
10,จำนวนกลุ่มของสัตว์น้ำวัยอ่อนทั้งหมด,4
10,ปริมาณของสัตว์น้ำวัยอ่อนทั้งหมด,2087
10,ค่าดัชนีความหลากหลายของสัตว์น้ำวัยอ่อนทั้งหมด,1.3452
11,จำนวนกลุ่มของสัตว์น้ำวัยอ่อนทั้งหมด,5
11,ปริมาณของสัตว์น้ำวัยอ่อนทั้งหมด,4043
11,ค่าดัชนีความหลากหลายของสัตว์น้ำวัยอ่อนทั้งหมด,1.5328