stationName,lat,long
คลังก๊าซเขาบ่อยา,703947,1447462
ชุมชนบ้านแหลมฉบัง,0703950,1446951
คลังน้ำมันศรีราชา,0704729,1449491
บ่อ API (คลังก๊าซเขาบ่อยา),0703837,1447935
บ่อสามเหลี่ยม (คลังก๊าซเขาบ่อยา),0704140,1447854
บ่อพักน้ำสุดท้ายของระบบบำบัดน้ำเสียในคลังน้ำมันศรีราชา,0703837,1447935
จุดระบายน้ำก่อนออกนอกคลังน้ำมันศรีราชา,0704140,1447854
หน้าท่าเทียบเรือขนส่งน้ำมัน คลังน้ำมันศรีราชา,0702240,1450072
บริเวณหน้าท่าเทียบเรือกลางทะเล หมายเลข 4 คลังน้ำมันศรีราชา,0701733,1450072
หน้าท่าเทียบเรือขนส่งก๊าซ คลังก๊าซเขาบ่อยา,0701560,1448100
"ห่างจากท่าเทียบเรือ 1, 2 และ 3 ไปทางทิศใต้ 1 กิโลเมตร",0703066,1448082