subName,main_id
ผลการตรวจวัดทิศทางและความเร็วลมเฉลี่ยรายชั่วโมง,1
ผลการตรวจวัดคุณภาพอากาศในบรรยากาศ,1
ผลการตรวจวัดค่าความเข้มข้นของก๊าซซัลเฟอร์ไดออกไซด์ในบรรยากาศ,1
ผลการตรวจวัดสารอินทรีย์ระเหยง่ายในบรรยากาศ,1
ผลการตรวจวัดคุณภาพอากาศภายในสถานประกอบการ,2
ผลการตรวจวัดระดับเสียงโดยทั่วไป,3
ผลการตรวจวัดคุณภาพเสียง 90,3
ผลการติดตามตรวจสอบ,3
ผลการตรวจวัดคุณภาพน้ำทิ้ง,4
ผลการตรวจวัดคุณภาพน้ำทะเล,5
ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของแพลงก์ตอนพืช,6
ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของแพลงก์ตอนสัตว์,6
ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของสัตว์หน้าดิน,6
ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของลูกปลาและไข่ปลา,6
ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของสัตว์น้ำวัยอ่อน,6